DB11942	D007160	DB00073
DB01217	D001984	DB12001
DB00788	D012216	DB00945
DB07232	D014565	DB00958
DB00526	D000230	DB01234
DB09037	D009375	DB11717
DB00997	D007154	DB00635
DB00316	D054219	DB00471
DB00552	D000230	DB00531
DB00531	D014652	DB00480
DB00433	D012817	DB00334
DB00993	D014657	DB15011
DB01101	D002277	DB14922
DB00987	D007938	DB00741
DB00563	D008206	DB00352
DB09110	D009369	DB01030
DB00635	D009135	DB06273
DB00788	D015207	DB00482
DB00728	D003324	DB01236
DB09035	D012142	DB14986
DB01006	D006058	DB12001
DB00515	D009385	DB01229
DB00390	D010190	DB00650
DB11581	D009369	DB14989
DB08904	D008175	DB00958
DB00635	D007154	DB06273
DB00987	D008223	DB11703
DB14892	D004067	DB08896
DB11967	D016543	DB11718
DB00544	D012004	DB00650
DB12638	D001941	DB01229
DB00207	D003141	DB00671
DB11760	D001943	DB05015
DB11760	D012871	DB15275
DB00112	D009371	DB04845
DB00711	D000079426	DB00602
DB00099	D009369	DB11595
DB00072	D001941	DB01590
DB11781	D004066	DB01101
DB00331	D016640	DB01016
DB00994	D005759	DB00512
DB12001	D012871	DB01590
DB00332	D012140	DB01001
DB01229	D004066	DB00441
DB00762	D054219	DB00526
DB11793	D012140	DB09037
DB00970	D008228	DB00531
DB06719	D000230	DB12941
DB00635	D007154	DB00316
DB11703	D007160	DB11714
DB00760	D005334	DB00601
DB00252	D009422	DB00776
DB00041	D002278	DB01073
DB11853	D009375	DB06825
DB09077	D009380	DB00762
DB00541	D008206	DB12121
DB00207	D014777	DB09322
DB01042	D008228	DB01181
DB12001	D009370	DB11793
DB01181	D007938	DB00958
DB01073	D007160	DB00631
DB11595	D000230	DB00544
DB08877	D020141	DB08889
DB00958	D006058	DB01248
DB00570	D009369	DB00851
DB00339	D007154	DB00218
DB11945	D009370	DB11714
DB00072	D001941	DB01006
DB00480	D009370	DB16222
DB00526	D013733	DB00773
DB06168	D009373	DB14892
DB00688	D002471	DB00877
DB00099	D010335	DB11723
DB00531	D016750	DB00073
DB15286	D003108	DB00515
DB00541	D008223	DB05220
DB08889	D020141	DB06040
DB00982	D009380	DB15965
DB00526	D002277	DB01248
DB00290	D008206	DB00541
DB09035	D013899	DB01262
DB00650	D002277	DB01229
DB00531	D001855	DB00541
DB00296	D009140	DB00814
DB12282	D009369	DB01229
DB00642	D010997	DB00515
DB00531	D009373	DB11945
DB00073	D009370	DB00291
DB06605	D009370	DB06228
DB08934	D007239	DB09027
DB00947	D001941	DB11857
DB00773	D018442	DB00958
DB00331	D014777	DB00330
DB00678	D010190	DB09035
DB00009	D002318	DB01109
DB00997	D007414	DB09499
DB04974	D010265	DB01073
DB11581	D015451	DB11703
DB00193	D005759	DB00921
DB01008	D054198	DB00864
DB01234	D015179	DB00544
DB00080	D018805	DB00713
DB00515	D013899	DB11595
DB01229	D013724	DB00773
DB01248	D000291	DB09074
DB00987	D020522	DB00531
DB09037	D007674	DB09053
DB00098	D009103	DB00099
DB00526	D008228	DB15434
DB00688	D030342	DB00454
DB00441	D004701	DB11526
DB00642	D008175	DB15088
DB00390	D005834	DB01098
DB00544	D006258	DB09037
DB01229	D002289	DB00112
DB00099	D007160	DB00188
DB00773	D009373	DB00541
DB11714	D009369	DB12483
DB00081	D008228	DB00531
DB00989	D000544	DB00674
DB00289	D065886	DB00422
DB00958	D014591	DB00515
DB12121	D007938	DB00694
DB01042	D007153	DB01073
DB01042	D018242	DB00515
DB09074	D016889	DB12218
DB00480	D008228	DB08935
DB00951	D014777	DB01201
DB06769	D007154	DB00188
DB00308	D000075224	DB00396
DB00773	D009837	DB00997
DB00204	D002318	DB00489
DB01073	D011230	DB04572
DB00531	D008206	DB00773
DB04915	D004700	DB01248
DB00441	D002277	DB09143
DB00531	D056647	DB00993
DB00099	D006474	DB00188
DB08871	D012871	DB09037
DB13126	D007154	DB00390
DB06825	D014565	DB00007
DB15434	D008228	DB00997
DB00334	D019967	DB00734
DB06809	D007154	DB01073
DB01229	D009385	DB00642
DB00773	D016483	DB00997
DB12577	D009370	DB01590
DB00531	D016750	DB00099
DB09035	D009375	DB12483
DB01220	D003109	DB06151
DB11730	D016543	DB00441
DB06228	D016491	DB00213
DB01072	D003141	DB14126
DB12489	D004066	DB00958
DB00316	D001796	DB01042
DB01008	D019337	DB00531
DB11771	D001661	DB11689
DB01432	D001796	DB01097
DB00864	D015465	DB00631
DB12155	D004066	DB09035
DB00002	D000077195	DB01248
DB00087	D054437	DB00864
DB00997	D010265	DB00188
DB00688	D055728	DB00877
DB04915	D009375	DB01248
DB00877	D007153	DB00087
DB00860	D008228	DB00631
DB09078	D008113	DB09037
DB11560	D014570	DB01394
DB11595	D009382	DB06366
DB00544	D001984	DB00947
DB00041	D010335	DB09037
DB06176	D007938	DB11952
DB09110	D018241	DB01042
DB09330	D008175	DB11791
DB00526	D012142	DB01229
DB11906	D006058	DB01126
DB00635	D010677	DB00563
DB09150	D009369	DB00789
DB00099	D054437	DB00688
DB09110	D009422	DB00099
DB00480	D016411	DB01234
DB00899	D006331	DB01236
DB00928	D010335	DB06210
DB09570	D001796	DB06317
DB00087	D009190	DB00959
DB11945	D007160	DB15113
